Group.1	year	month	Almaty	Andizhan	Ashbagat	Bairam.ali	Baityk	Chardzhou	Charvak	Dzhizak	Fergana	Kattakurgan	Leninabad	Namangan	Naryn	Osh	Panfilov	Przhevalsk	Rybache	Samarkand	Serahs	Tashkent	Termez
1958	1958	6.5	7.25	12.7916666666667	16.9333333333333	16.1083333333333	6.1	16.0166666666667	12.25	14.7916666666667	13.1083333333333	13.5666666666667	14.6	14	3.04166666666667	11.0166666666667	10.2916666666667	5.34166666666667	7.075	14.175	17.6166666666667	13.375	17.6416666666667
1959	1959	6.5	6.93333333333333	12.65	15.2916666666667	15.1416666666667	6.09166666666667	15.1916666666667	12.1	14.0916666666667	12.8666666666667	13.1	14.2333333333333	13.65	2.9	10.6666666666667	9.53333333333333	5.1	7.04166666666667	13.3416666666667	16.2333333333333	12.8	17.0333333333333
1960	1960	6.5	6.6	12.3166666666667	16.5	15.5916666666667	5.925	15.4083333333333	11.6666666666667	13.85	12.7166666666667	12.7583333333333	13.7666666666667	13.3416666666667	2.44166666666667	10.5083333333333	9.16666666666667	4.85	6.775	13.2583333333333	17.0916666666667	12.5416666666667	16.5916666666667
1961	1961	6.5	7.925	13.1416666666667	17.2	16.3333333333333	6.44166666666667	16.2416666666667	13.0083333333333	15.175	13.3916666666667	14.025	14.9	14.1416666666667	2.80833333333333	11.1	10.65	5.25833333333333	7.14166666666667	14.375	17.3666666666667	13.775	17.4083333333333
1962	1962	6.5	8.03333333333333	12.85	16.0083333333333	15.4666666666667	6.68333333333333	15.5833333333333	12.4166666666667	14.6416666666667	13.3	13.425	14.575	14.0166666666667	2.975	10.9	10.8916666666667	5.53333333333333	7.23333333333333	13.8333333333333	16.5083333333333	13.1333333333333	16.9083333333333
1963	1963	6.5	8.475	13.45	16.8166666666667	16.575	7.65833333333333	16.675	13.1833333333333	15.4666666666667	13.8583333333333	14.2833333333333	15.2666666666667	14.5333333333333	3.1	11.525	11.4	5.91666666666667	7.83333333333333	14.7416666666667	17.75	13.9666666666667	17.7916666666667
1964	1964	6.5	6.89166666666667	11.725	15.3166666666667	14.7916666666667	5.60833333333333	14.875	11.3166666666667	13.4083333333333	12.1333333333333	12.2083333333333	13.5833333333333	12.7583333333333	2.44166666666667	9.8	9.43333333333333	4.78333333333333	6.44166666666667	12.7666666666667	15.8666666666667	12.1583333333333	15.95
1965	1965	6.5	8.51666666666667	13.0416666666667	16.6166666666667	16.325	7.15833333333333	16.2166666666667	12.8916666666667	14.8166666666667	13.4166666666667	13.65	14.9416666666667	14.4333333333333	3.35	11.0833333333333	11.0583333333333	5.76666666666667	7.25833333333333	13.9583333333333	17.5833333333333	13.5583333333333	17.2666666666667
1966	1966	6.5	7.85833333333333	13.3916666666667	17.275	16.75	7.06666666666667	16.9333333333333	13.075	15.1833333333333	13.6333333333333	14.4916666666667	15.3416666666667	14.6166666666667	3.28333333333333	11.5083333333333	10.725	5.43333333333333	7.16666666666667	14.5916666666667	18.0083333333333	13.8833333333333	17.925
1967	1967	6.5	7.325	12.875	16.4333333333333	15.75	6.45	16.1666666666667	12.2583333333333	14.725	12.975	13.4583333333333	14.5083333333333	13.825	2.78333333333333	10.6166666666667	10.1083333333333	5.06666666666667	7.125	13.7416666666667	16.9083333333333	13.3083333333333	16.8833333333333
1968	1968	6.5	7.65	13.0416666666667	16.4333333333333	15.9333333333333	6.375	16.2666666666667	12	14.9416666666667	13.2666666666667	13.6833333333333	14.5833333333333	14.0416666666667	3.30833333333333	11.0166666666667	10.5	5.61666666666667	7.01666666666667	13.775	17.1833333333333	13.1333333333333	17.525
1969	1969	6.5	6.05833333333333	11.5083333333333	13.85	13.8	5.65	14.475	11.1416666666667	12.9166666666667	11.5	11.6083333333333	12.725	11.8833333333333	2.76666666666667	9.525	8.53333333333333	5.00833333333333	6.64166666666667	12.225	15.0083333333333	11.525	16.2
