Sample Nr,Date sampled,Time,Month,Location,Country,Sample description,Sample type,Coordinate 1,Coordinate 2,T [C],pH,EC [microS/cm],TDS    [mg/L],NO+3-N [mg/L]  ,PO3-4-P [mg/L],Fe [mg/L]  
4,19-06-19,16:48,6,Bridge,KG,streamflow,streamwater,42.758631,74.571057,23,8.2,790,390,4.01,0.122,0.04
5,19-06-19,17:21,6,Lake,KG,reservoir,reservoir,42.971494,74.602249,26,8.5,410,200,,,
6,05-07-19,13:15,7,Alplager,KG,streamflow,streamwater,42.565388,74.479548,11,7.3,40,20,0.38,0.009,0.07
7,05-07-19,13:29,7,Radnik,KG,"spring, GW",groundwater,42.630273,74.491362,14,8.1,180,90,0.68,0.017,0.07
8,05-07-19,14:30,7,Baityk,KG,streamflow,streamwater,42.647609,74.495405,14,7.5,50,20,0.71,0.007,0.07
9,05-07-19,15:45,7,Zarechnoe,KG,streamflow,streamwater,42.758631,74.571057,18,7.8,90,40,2.46,0.004,0.07
10,05-07-19,18:20,7,Bridge,KG,streamflow,streamwater,42.950108,74.592261,25,8,740,370,3.63,0.092,0.07
11,05-07-19,18:56,7,Lake,KG,reservoir,reservoir,42.971494,74.602249,29,8.2,540,270,0.39,0.022,0.07
12,16-07-19,11:11,7,Alplager,KG,streamflow,streamwater,42.565388,74.479548,10,7.2,30,10,0.63,0.063,0.07
13,16-07-19,11:35,7,Baityk,KG,streamflow,streamwater,42.630273,74.491362,10,7.4,50,20,0.78,0.05,0.07
14,16-07-19,12:40,7,Zarechnoe,KG,streamflow,streamwater,42.647609,74.495405,18,7.6,100,50,0.75,0.049,0.07
15,16-07-19,14:30,7,Bridge,KG,streamflow,streamwater,42.758631,74.571057,27,8.2,720,360,3.38,0.206,0.07
16,05-08-19,14:30,8,Alplager,KG,streamflow,streamwater,42.565388,74.479548,11,7.3,40,20,0.55,0.013,0.07
17,05-08-19,15:00,8,Radnik,KG,"spring, GW",groundwater,42.630273,74.491362,16,8.1,200,100,0.69,0.011,0.07
18,05-08-19,15:15,8,Baityk,KG,streamflow,streamwater,42.647609,74.495405,13,7.6,50,20,0.83,0.008,0.07
19,05-08-19,16:40,8,Zarechnoe,KG,streamflow,streamwater,42.758631,74.571057,19,7.7,90,40,0.58,0.012,0.07
20,05-08-19,17:30,8,Bridge,KG,streamflow,streamwater,42.950108,74.592261,25,7.8,550,270,0.87,0.107,0.07
21,05-08-19,18:00,8,Lake,KG,reservoir,reservoir,42.971494,74.602249,26,7.4,690,340,3.12,0.024,0.08
22,16-08-19,14:35,8,Alplager,KG,streamflow,streamwater,42.565388,74.479548,7,7.1,50,20,0.56,0.014,0.07
23,16-08-19,14:55,8,Baityk,KG,streamflow,streamwater,42.630273,74.491362,9,7.2,50,20,0.59,0.01,0.07
